id,oneway,category,nodes
325,False,service,"[u'1759597996', u'1759597567']"
326,False,service,"[u'1759597996', u'2717808173', u'1759597709', u'1759597914', u'1759598021', u'1759597920']"
327,False,service,"[u'1759597920', u'1759598021', u'1759597914', u'1759597709', u'2717808173', u'1759597996']"
328,False,service,"[u'1759597920', u'1759598165', u'1759597689', u'1759597668', u'1759598214', u'1759598224']"
329,False,service,"[u'1759598224', u'1759598214', u'1759597668', u'1759597689', u'1759598165', u'1759597920']"
330,False,service,"[u'1759598126', u'1759597678', u'1759597776', u'1759598202', u'2717390055', u'1759597763']"
331,False,service,"[u'1759597763', u'2717390055', u'1759598202', u'1759597776', u'1759597678', u'1759598126']"
332,False,service,"[u'1759597763', u'1759597531', u'1759597729', u'2717390048', u'1759598231']"
333,False,service,"[u'1759598231', u'2717390048', u'1759597729', u'1759597531', u'1759597763']"
334,False,service,"[u'1759598231', u'1759597812', u'2717390051', u'1759597985']"
335,False,service,"[u'1759597985', u'2717390051', u'1759597812', u'1759598231']"
336,False,service,"[u'1759597985', u'1759598154', u'1759598053', u'2717390053', u'1759597542']"
337,False,service,"[u'1759597542', u'2717390053', u'1759598053', u'1759598154', u'1759597985']"
338,False,service,"[u'1759597542', u'1759597626', u'1759598039', u'1759598083', u'1759598126']"
339,False,service,"[u'1759598126', u'1759598083', u'1759598039', u'1759597626', u'1759597542']"
340,False,service,"[u'1759598197', u'1759598138', u'1759597661', u'1759597512', u'1759598033', u'1759597706']"
341,False,service,"[u'1759597706', u'1759598033', u'1759597512', u'1759597661', u'1759598138', u'1759598197']"
342,False,service,"[u'1759597623', u'1759597767', u'1759597622', u'1759597965']"
343,False,service,"[u'1759597965', u'1759597622', u'1759597767', u'1759597623']"
344,False,service,"[u'1759597965', u'1759597854', u'1759597773', u'1759598222', u'1759597981']"
345,False,service,"[u'1759597981', u'1759598222', u'1759597773', u'1759597854', u'1759597965']"
346,False,service,"[u'1759597584', u'3878436132']"
347,False,service,"[u'3878436132', u'1759597584']"
348,False,service,"[u'1759597813', u'1759597571']"
349,False,service,"[u'1759597571', u'1759597813']"
350,False,tertiary,"[u'1759597737', u'1759597842', u'1759597726']"
351,False,tertiary,"[u'1759597726', u'1759597842', u'1759597737']"
352,False,tertiary,"[u'1759597726', u'1759597674']"
353,False,tertiary,"[u'1759597674', u'1759597726']"
354,False,service,"[u'1759598197', u'1759597544']"
355,False,service,"[u'1759597544', u'1759598197']"
356,False,service,"[u'1759597581', u'2717807845', u'1759598062', u'1759597768', u'1759597591', u'1759597645', u'1759597641', u'1759598035', u'1759597859', u'1759597545', u'2717421805', u'1759597939', u'1759597983', u'1486922499']"
357,False,service,"[u'1486922499', u'1759597983', u'1759597939', u'2717421805', u'1759597545', u'1759597859', u'1759598035', u'1759597641', u'1759597645', u'1759597591', u'1759597768', u'1759598062', u'2717807845', u'1759597581']"
358,False,trunk,"[u'499158759', u'1187061170', u'499158764', u'1187061261', u'499158768', u'1187061218', u'1187061187', u'499158775', u'499158780', u'1187045165']"
359,False,trunk,"[u'1187045165', u'499158780', u'499158775', u'1187061187', u'1187061218', u'499158768', u'1187061261', u'499158764', u'1187061170', u'499158759']"
360,False,service,"[u'1797189479', u'1797189475', u'1797189476', u'1797189477', u'1797189478', u'1797189480', u'1797189482', u'1797189483', u'1797189484', u'3879204088', u'1759597674']"
